path,module,kind,name,signature,status,role
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","PageResponse","data class PageResponse<T>(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","HealthCheckResponse","data class HealthCheckResponse(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","JobType","enum class JobType {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","RemoteType","enum class RemoteType {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","EmploymentType","enum class EmploymentType {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","ExperienceLevel","enum class ExperienceLevel {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","JobSortOrder","enum class JobSortOrder {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","ResumeStatus","enum class ResumeStatus {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","ProviderState","enum class ProviderState {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","ProviderType","enum class ProviderType {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","AIModel","enum class AIModel {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","MessageRole","enum class MessageRole {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","ThemeMode","enum class ThemeMode {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","Language","enum class Language {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","ApplicationStatus","enum class ApplicationStatus {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","PermissionState","enum class PermissionState {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","LetterTone","enum class LetterTone {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","InterviewDifficulty","enum class InterviewDifficulty {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\enums\CoreEnums.kt",core/common,"enum","MessageSender","enum class MessageSender {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","BaseException","abstract class BaseException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","errorCode","open val errorCode: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","message","override val message: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","cause","override val cause: Throwable? = null,",UNKNOWN,UNKNOWN
